num_conn,startTimet,orig_pt,resp_pt1,orig_ht,resp_ht,duration,protocol_type,resp_pt2,flag,src_bytes,dst_bytes,land,wrong_fragment,urg,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_hot_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate_sec,rerror_rate,srv_error_rate_sec,same_srv_rate,diff_srv_rate,dst_host_diff_srv_rate,count_100,srv_count_100,same_srv_rate_100,diff_srv_rate_100,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rat,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
1593,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.310408,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,795,0.0,0.0,0.0,0.0,0.963636,0.036364,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1594,1580558703.411784,56879,47440,127.0.0.1,127.0.0.1,0.0,udp,47440,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592,0,0.000628,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1595,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.310441,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,796,0.0,0.0,0.0,0.0,0.96368,0.03632,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1596,1580558703.411817,56879,53877,127.0.0.1,127.0.0.1,0.0,udp,53877,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1594,0,0.000627,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1597,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.310474,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827,797,0.0,0.0,0.0,0.0,0.963724,0.036275999999999996,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1598,1580558703.411849,56879,42089,127.0.0.1,127.0.0.1,0.0,udp,42089,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1596,0,0.000627,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1599,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.310506,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,798,0.0,0.0,0.0,0.0,0.9637680000000001,0.036232,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1600,1580558703.411882,56879,28154,127.0.0.1,127.0.0.1,0.0,udp,28154,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598,0,0.0006259999999999999,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1601,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.310538,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,799,0.0,0.0,0.0,0.0,0.9638120000000001,0.036188,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1602,1580558703.411914,56879,34029,127.0.0.1,127.0.0.1,0.0,udp,34029,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0.000625,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1603,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.31057,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,800,0.0,0.0,0.0,0.0,0.9638549999999999,0.036145,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1604,1580558703.411946,56879,48339,127.0.0.1,127.0.0.1,0.0,udp,48339,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1602,0,0.000624,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1605,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.310603,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,801,0.0,0.0,0.0,0.0,0.963899,0.036101,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
