num_conn,startTimet,orig_pt,resp_pt1,orig_ht,resp_ht,duration,protocol_type,resp_pt2,flag,src_bytes,dst_bytes,land,wrong_fragment,urg,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_hot_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate_sec,rerror_rate,srv_error_rate_sec,same_srv_rate,diff_srv_rate,dst_host_diff_srv_rate,count_100,srv_count_100,same_srv_rate_100,diff_srv_rate_100,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rat,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
751,1580559790.080815,61865,6792,127.0.0.1,127.0.0.1,1e-05,tcp,6792,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,0.0,0.0,0.996,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
752,1580559790.080842,61865,981,127.0.0.1,127.0.0.1,1.1e-05,tcp,981,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,0,0.0,0.0,0.9960049999999999,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
753,1580559790.080869,61865,2000,127.0.0.1,127.0.0.1,1.1e-05,tcp,2000,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,0,0.0,0.0,0.9960110000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
754,1580559790.080897,61865,8001,127.0.0.1,127.0.0.1,1.1e-05,tcp,8001,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,0,0.0,0.0,0.996016,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
755,1580559790.080925,61865,8800,127.0.0.1,127.0.0.1,1.1e-05,tcp,8800,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,0,0.0,0.0,0.9960209999999999,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
756,1580559790.080953,61865,873,127.0.0.1,127.0.0.1,1.1e-05,tcp,873,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,0,0.0,0.0,0.996027,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
757,1580559790.08098,61865,9502,127.0.0.1,127.0.0.1,1.1e-05,tcp,9502,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756,0,0.0,0.0,0.9960319999999999,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
758,1580559790.081008,61865,765,127.0.0.1,127.0.0.1,1e-05,tcp,765,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757,0,0.0,0.0,0.9960370000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
759,1580559790.081035,61865,720,127.0.0.1,127.0.0.1,1.1e-05,tcp,720,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,0,0.0,0.0,0.996042,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
760,1580559790.081063,61865,15742,127.0.0.1,127.0.0.1,1e-05,tcp,15742,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,0.0,0.0,0.9960469999999999,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
761,1580559790.08109,61865,10002,127.0.0.1,127.0.0.1,1.1e-05,tcp,10002,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,0,0.0,0.0,0.9960530000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
762,1580559790.0811179,61865,500,127.0.0.1,127.0.0.1,1.2e-05,tcp,500,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761,0,0.0,0.0,0.996058,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
763,1580559790.081146,61865,3030,127.0.0.1,127.0.0.1,1.1e-05,tcp,3030,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,0,0.0,0.0,0.9960629999999999,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
764,1580559790.081173,61865,49159,127.0.0.1,127.0.0.1,1.1e-05,tcp,49159,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,0,0.0,0.0,0.9960680000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
765,1580559790.081201,61865,9917,127.0.0.1,127.0.0.1,1.1e-05,tcp,9917,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,0,0.0,0.0,0.996073,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
766,1580559790.081228,61865,5000,127.0.0.1,127.0.0.1,1.1e-05,tcp,5000,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,0,0.0,0.0,0.996078,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
767,1580559790.0812562,61865,900,127.0.0.1,127.0.0.1,1.1e-05,tcp,900,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,0,0.0,0.0,0.996084,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
768,1580559790.081283,61865,903,127.0.0.1,127.0.0.1,1.1e-05,tcp,903,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0.0,0.0,0.9960889999999999,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
769,1580559790.08131,61865,4005,127.0.0.1,127.0.0.1,1.1e-05,tcp,4005,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0.0,0.0,0.996094,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
770,1580559790.0813382,61865,8010,127.0.0.1,127.0.0.1,1e-05,tcp,8010,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,0,0.0,0.0,0.996099,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
771,1580559790.081365,61865,9080,127.0.0.1,127.0.0.1,1.1e-05,tcp,9080,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,0,0.0,0.0,0.9961040000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
772,1580559790.081392,61865,32780,127.0.0.1,127.0.0.1,1.1e-05,tcp,32780,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,0,0.0,0.0,0.996109,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
773,1580559790.0814211,61865,6510,127.0.0.1,127.0.0.1,1e-05,tcp,6510,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,0,0.0,0.0,0.9961139999999999,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
774,1580559790.081448,61865,3031,127.0.0.1,127.0.0.1,1.1e-05,tcp,3031,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,0,0.0,0.0,0.9961190000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
775,1580559790.081476,61865,2034,127.0.0.1,127.0.0.1,1.1e-05,tcp,2034,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774,0,0.0,0.0,0.996124,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
776,1580559790.0815039,61865,10617,127.0.0.1,127.0.0.1,1.1e-05,tcp,10617,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,0.0,0.0,0.996129,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
777,1580559790.081532,61865,8002,127.0.0.1,127.0.0.1,1.1e-05,tcp,8002,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,0,0.0,0.0,0.996134,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
778,1580559790.081559,61865,9103,127.0.0.1,127.0.0.1,1.1e-05,tcp,9103,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,0,0.0,0.0,0.996139,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
779,1580559790.0815868,61865,4848,127.0.0.1,127.0.0.1,1e-05,tcp,4848,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,0,0.0,0.0,0.996144,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
780,1580559790.081614,61865,1075,127.0.0.1,127.0.0.1,1.1e-05,tcp,1075,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,0,0.0,0.0,0.996149,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
781,1580559790.083934,61865,1783,127.0.0.1,127.0.0.1,2.8000000000000003e-05,tcp,1783,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,0.0,0.0,0.9961540000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
782,1580559790.083983,61865,52822,127.0.0.1,127.0.0.1,1.1e-05,tcp,52822,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,0,0.0,0.0,0.996159,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
783,1580559790.084012,61865,5405,127.0.0.1,127.0.0.1,1.1e-05,tcp,5405,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,0,0.0,0.0,0.9961639999999999,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
784,1580559790.084126,61865,8007,127.0.0.1,127.0.0.1,1.2e-05,tcp,8007,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,0,0.0,0.0,0.9961690000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
785,1580559790.084155,61865,15003,127.0.0.1,127.0.0.1,1.1e-05,tcp,15003,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,0,0.0,0.0,0.996173,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
786,1580559790.084183,61865,52869,127.0.0.1,127.0.0.1,1.1e-05,tcp,52869,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,0,0.0,0.0,0.9961780000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
